,isbn,title,series_title,series_release_number,authors,publisher,language,description,num_pages,format,genres,publication_date,rating_score,num_ratings,num_reviews,current_readers,want_to_read,price,url
0,9780689830594,Summer Story ,Brambly Hedge,2,Jill Barklem,Atheneum,English,"It was such a hot summer. The sky was deep blue and the sun never faltered.All along Brambly Hedge, the mice did their best to keep cool. Poppy Eyebright sought refuge in the mossy shadows of the mill wheel; Dusty Dogwood took to walking by the banks of the cooling stream. Dusty and Poppy spent more and more time together, so no one was at all surprised when they announced their engagement.
They decided on a very unusual setting for the wedding ceremony, but even they didn't realize just how unusual it would prove to be!",32,Hardcover,"['Picture Books', 'Childrens', 'Fiction', 'Animals', 'Fantasy', 'Classics', 'Short Stories']","January 1, 1980",4.45,1017.0,74.0,7.0,512.0,3.49,https://www.goodreads.com/book/show/421572.Summer_Story
1,9780375704970,The Lake of Darkness,,,Ruth Rendell,Vintage Crime/Black Lizard,English,"Martin Urban is a quiet bachelor with a comfortable life, free of worry and distractions. When he unexpectedly comes into a small fortune, he decides to use his newfound wealth to help out those in need. Finn also leads a quiet life, and comes into a little money of his own. Normally, their paths would never have crossed. But Martin’s ideas about who should benefit from his charitable impulses yield some unexpected results, and soon the good intentions of the one become fatally entangled with the mercenary nature of the other. In the Lake of Darkness , Ruth Rendell takes the old adage that no good deed goes unpunished to a startling, haunting conclusion.",210,Paperback,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'British Literature', 'Suspense', 'Mystery Thriller']","January 1, 1980",3.76,1388.0,114.0,77.0,623.0,4.99,https://www.goodreads.com/book/show/83394.The_Lake_of_Darkness
2,9780345446671,Beyond the Blue Event Horizon ,Heechee Saga,2,Frederik Pohl,Ballantine Books,English,"In Book Two of the Heechee Saga, Robinette Broadhead is on his way to making a fortune by bankrolling an expedition to the Food Factory--a Heechee spaceship that can graze the cometary cloud and transfor the basic elements of the universe into untold quantities of food. But even as he gambles on the breakthrough technology, he is wracked with the guilt of losing his wife, poised forever at the ""event horizon"" of a black hole where Robin had abaondoned her. As more and more information comes back from the expedition, Robin grows ever hopeful that he can rescue his beloved Gelle-Klara Moynlin. After three and a years, the factory is discovered to work, and a human is found aboard. Robin's suffering may be just about over....
THE HEECHEE SAGA
Book Gateway
Book Beyond the Blue Event Horizon
Book Heechee Rendezvous
Book The Annals of the Heechee
From the Paperback edition.",336,Paperback,"['Science Fiction', 'Fiction', 'Space Opera', 'Science Fiction Fantasy', 'Fantasy', 'Aliens', 'Adventure']","January 1, 1980",3.95,13307.0,339.0,181.0,3961.0,11.99,https://www.goodreads.com/book/show/373399.Beyond_the_Blue_Event_Horizon
3,9780446403016,St. Peter's Fair ,Chronicles of Brother Cadfael,4,Ellis Peters,Mysterious Press,English,"A pause in the civil war offers Shrewsbury's townsfolk hope that the upcoming fair will be successful, but the discovery of the body of a wealthy merchant could destroy that hope.",217,Mass Market Paperback,"['Mystery', 'Historical Fiction', 'Fiction', 'Historical', 'Crime', 'Medieval', 'Historical Mystery']","May 1, 1981",4.12,10493.0,593.0,1298.0,2502.0,0.0,https://www.goodreads.com/book/show/751755.St_Peter_s_Fair
4,9780425198773,Twice Shy,,,Dick Francis,G.P. Putnam's Sons,English,"A computerized horse-betting system falls into Jonathan Derry's hands--and unless he returns it to the rightful owners, the odds of his survival are slim to none.",304,Mass Market Paperback,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Suspense', 'Mystery Thriller', 'Horse Racing']","January 1, 1981",3.92,4188.0,174.0,162.0,642.0,8.99,https://www.goodreads.com/book/show/103250.Twice_Shy
5,9780698119604,The Door in the Hedge,,,Robin McKinley,Firebird,English,"Master storyteller Robin McKinley here spins two new fairy tales and retells two cherished classics. All feature princesses touched with or by magic. There is Linadel, who lives in a kingdom next to Faerieland, where princesses are stolen away on their seventeenth birthdays-and Linadel's seventeenth birthday is tomorrow. And Korah, whose brother is bewitched by the magical Golden Hind; now it is up to her to break the spell. Rana must turn to a talking frog to help save her kingdom from the evil Aliyander. And then there are the twelve princesses, enspelled to dance through the soles of their shoes every night. . . . These are tales to read with delight!",216,Paperback,"['Fantasy', 'Young Adult', 'Short Stories', 'Fairy Tales', 'Fiction', 'Retellings', 'Romance']","January 1, 1981",3.7,9657.0,592.0,395.0,6643.0,1.99,https://www.goodreads.com/book/show/8091.The_Door_in_the_Hedge
6,9780689861130,"Moo, Baa, La La La!",,,Sandra Boynton,Simon & Schuster Childrens Books,English,"Serious silliness for all ages!
Artist Sandra Boynton is back and better than ever with completely redrawn versions of her multi-million selling board books.
These whimsical and hilarious books, featuring nontraditional texts and her famous animal characters, have been printed on high quality and durable board book pages, and are sure to educate and entertain children of all ages.",14,Hardcover,"['Picture Books', 'Childrens', 'Animals', 'Fiction', 'Kids', 'Storytime', 'Humor']","January 1, 1982",4.21,35681.0,767.0,125.0,7376.0,,https://www.goodreads.com/book/show/4600.Moo_Baa_La_La_La_
7,9780345468642,Pawn of Prophecy ,The Belgariad,1,David Eddings,Del Rey,English,"BOOK 1 OF THE BELGARIAD, the worldwide bestselling fantasy series by master storyteller David Eddings. Discover the epic story that inspired thousands - from Raymond Feist's 
 series to George R. R. Martin's 
A Game of Thrones
.
A battle is coming...
...And in that battle shall be decided
the fate of the world
Myths tell of the ancient wars of Gods and men, and a powerful object - the Orb - that ended the bloodshed. As long as it was held by the line of Riva, it would assure the peace.
But a dark force has stolen the Orb, and the prophecies tell of war.
Young farm boy Garion knows nothing of myth or fate. But then the mysterious Old Storyteller visits his aunt, and they embark on a sudden journey. Pursued by evil forces, with only a small band of companions they can trust, Garion begins to doubt all he thought he knew...",304,Paperback,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Young Adult', 'Science Fiction Fantasy', 'Adventure']","March 12, 1982",4.16,105412.0,3769.0,1777.0,52200.0,5.99,https://www.goodreads.com/book/show/44659.Pawn_of_Prophecy
8,9780553276329,Pacific Vortex! ,Dirk Pitt,1,Clive Cussler,Bantam,English,"Dirk Pitt, death-defying adventurer and deep-sea expert, is out to the ultimate test as he plunges into the perilous waters of the Pacific Vortex -- a fog-shrouded sea zone where dozens of ships have vanished without a trace. The latest victim is the awesome superb Starbuck, America's deep-diving nuclear arsenal. Its loss poses an unthinkable threat to national defense. Pitt's job is to find it, salvage it, before the sea explodes. In a furious race against time, Pitt's mission swirls him into a battle with underwater assassins-and traps him in the arms of Summer Moran, the most stunningly exotic and dangerous toward disaster, Clive Cussler plummets his hero onto an ancient sunken island-the astonishing setting for the explosive climax of Pacific Vortex!",288,Mass Market Paperback,"['Adventure', 'Fiction', 'Thriller', 'Action', 'Mystery', 'Suspense', 'Mystery Thriller']","January 1, 1983",3.8,23332.0,898.0,350.0,11900.0,9.59,https://www.goodreads.com/book/show/361081.Pacific_Vortex_
9,9780061178801,The One Minute Manager,,,Kenneth H. Blanchard,William Morrow: An Imprint of HarperCollinsPublishers,English,"""Enjoy more success with less stress. The book reveals the three simple, easy to use, One Minute Secrets that make your work and life better! -- dj.",111,Hardcover,"['Business', 'Leadership', 'Nonfiction', 'Management', 'Self Help', 'Personal Development', 'Productivity']","January 1, 1981",3.95,123639.0,2123.0,1166.0,105000.0,9.99,https://www.goodreads.com/book/show/4285707-the-one-minute-manager
